diagnosis,accepted_answers,clue_1,clue_2,clue_3,clue_4,clue_5,clue_6,explanation,high_yield
Necrotizing enterocolitis,NEC; neonatal necrotizing enterocolitis,"A premature formula-fed infant in the NICU develops feeding intolerance, abdominal distension, and increasing residuals.",The baby becomes lethargic with temperature instability and apnea.,Bloody stool appears as the abdomen becomes tender and bowel sounds decrease.,"Labs show thrombocytopenia, metabolic acidosis, and inflammatory changes.",Abdominal radiograph demonstrates pneumatosis intestinalis; portal venous gas would be ominous.,Ischemic and bacterial injury causes transmural intestinal necrosis in a premature neonate.,"NEC is inflammatory and ischemic necrosis of neonatal bowel, usually in premature infants, with feeding intolerance, bloody stool, and pneumatosis intestinalis.",Prematurity + feeding intolerance + distension + bloody stool; pneumatosis intestinalis pathognomonic; portal venous gas severe; pneumoperitoneum surgery.
Achalasia,achalasia; primary achalasia; esophageal aperistalsis,A 41-year-old reports slowly progressive swallowing trouble that involves water and bread from the beginning.,He also wakes coughing after regurgitating bland undigested food at night.,There is weight loss but no heartburn-dominant pattern or painful swallowing.,Barium swallow shows a dilated esophagus tapering smoothly at the gastroesophageal junction.,Manometry shows absent peristalsis and incomplete lower esophageal sphincter relaxation.,Loss of inhibitory myenteric neurons prevents LES relaxation.,"Achalasia is loss of inhibitory neurons in the myenteric plexus causing absent peristalsis and impaired LES relaxation, with dysphagia to solids and liquids from onset.",Dysphagia to solids and liquids simultaneously; regurgitation undigested food; bird-beak; manometry gold standard; Chagas possible.
Esophageal adenocarcinoma,distal esophageal adenocarcinoma; Barrett-associated esophageal cancer; GEJ adenocarcinoma,A 64-year-old obese man with years of reflux now has food sticking that began with meat and later includes softer foods.,"He has unintentional weight loss and early satiety, but odynophagia is not the main complaint.",History includes Barrett esophagus on prior endoscopy.,EGD finds an irregular distal esophageal or gastroesophageal junction mass.,Biopsy shows malignancy arising from metaplastic columnar epithelium.,Chronic GERD-associated Barrett change predisposes to distal esophageal adenocarcinoma.,Esophageal adenocarcinoma arises from Barrett metaplasia in the distal esophagus/GEJ and causes progressive dysphagia with weight loss.,GERD/Barrett; obese white male; distal/GEJ; progressive solids to liquids dysphagia; weight loss; EGD biopsy diagnosis.
Esophageal squamous cell carcinoma,esophageal SCC; squamous esophageal cancer; mid esophageal carcinoma,A 58-year-old man with heavy tobacco and alcohol use develops progressive dysphagia and weight loss.,"Symptoms began with solid foods and advanced to liquids, pointing to a mechanical lesion.",He has hoarseness and possible supraclavicular lymphadenopathy on exam.,Barium swallow would show an irregular mucosal filling defect rather than smooth bird-beak tapering.,EGD biopsy identifies a tumor in the mid or upper esophagus.,"Carcinogens injure squamous epithelium, producing squamous cell carcinoma.","Esophageal squamous cell carcinoma arises in upper/mid esophageal squamous epithelium and is linked to alcohol, tobacco, achalasia, and progressive dysphagia.",Alcohol + tobacco; upper/mid esophagus; progressive solids to liquids; weight loss; irregular filling defect; achalasia increases risk.
Eosinophilic esophagitis,EoE; eosinophilic esophagitis; allergic esophagitis,A 22-year-old man with asthma and eczema has intermittent solid-food dysphagia and an episode of steak impaction.,"Between episodes he feels well, and liquids are usually easier than solids.",Heartburn treatment with a PPI has not fully resolved the swallowing symptoms.,"Endoscopy shows concentric rings, linear furrows, and white plaques that are not Candida.",Biopsy reveals at least 15 eosinophils per high-power field.,"Food antigen-driven eosinophilic infiltration causes a stiff, ringed esophagus.",EoE is antigen-driven eosinophilic inflammation of the esophagus causing intermittent solid-food dysphagia and food impaction in young atopic patients.,Young atopic male; food impaction; rings/furrows/white exudates; >=15 eos/hpf; intermittent solids; poor PPI-only response.
Candida esophagitis,esophageal candidiasis; Candida infectious esophagitis,A patient with advanced HIV develops painful swallowing and poor oral intake over several days.,Exam shows white plaques on the tongue and buccal mucosa that scrape poorly.,"Dysphagia is present, but odynophagia is the dominant symptom.",Empiric fluconazole is reasonable when the presentation is classic.,"Endoscopy, if performed, shows adherent white esophageal plaques.",Biopsy or brushing would show budding yeast and pseudohyphae.,"Candida esophagitis is opportunistic infection causing odynophagia in immunocompromised patients, often with thrush and adherent white plaques.",Odynophagia + immunocompromised; thrush; white plaques; pseudohyphae; most common infectious esophagitis; fluconazole empirically if classic.
CMV esophagitis,cytomegalovirus esophagitis; CMV infectious esophagitis,A patient with AIDS and very low CD4 count has severe odynophagia without obvious thrush.,"He has fever and retrosternal pain, and empiric antifungal therapy has not helped.",Endoscopy shows large shallow linear ulcers in the distal esophagus.,Biopsy from the ulcer base shows enlarged cells with owl-eye intranuclear inclusions.,Treatment requires ganciclovir or valganciclovir rather than fluconazole.,Cytomegalovirus causes ulcerative esophagitis in advanced immunosuppression.,CMV esophagitis causes odynophagia in severely immunocompromised patients with large shallow linear distal ulcers and owl-eye inclusions.,Immunocompromised odynophagia; no thrush; large linear distal ulcers; owl-eye inclusions; treat ganciclovir.
HSV esophagitis,herpes simplex esophagitis; HSV infectious esophagitis,An immunocompromised patient develops acute odynophagia and substernal pain.,"No thrush is seen, so endoscopy is performed to distinguish viral causes.","EGD shows multiple small punched-out ulcers, often in the mid-esophagus.",Biopsy from the ulcer edge shows multinucleated giant cells and Cowdry type A inclusions.,Acyclovir is the targeted therapy.,Herpes simplex infection causes focal ulcerative esophagitis.,HSV esophagitis is opportunistic viral esophageal infection causing odynophagia with multiple small punched-out mid-esophageal ulcers and multinucleated giant cells.,Odynophagia; immunocompromised; punched-out/volcano ulcers; multinucleated giant cells and Cowdry A; treat acyclovir.
Acute mesenteric ischemia,AMI; embolic mesenteric ischemia; intestinal ischemia,"An 82-year-old with atrial fibrillation develops sudden severe abdominal pain after breakfast, but his abdomen is initially soft.","He vomits once and has an urgent bowel movement, making early gastroenteritis tempting.",The pain is far worse than the tenderness on exam.,"Labs later show leukocytosis and rising lactate, but these are late and nonspecific.",CT angiography demonstrates an SMA embolus or poor mesenteric perfusion.,Bowel ischemia from acute arterial occlusion can progress rapidly to infarction.,"Acute mesenteric ischemia is sudden intestinal hypoperfusion, often SMA embolus from atrial fibrillation, producing severe pain out of proportion and metabolic acidosis.",Pain out of proportion; AF/SMA embolus; lactate/acidosis; bloody stool late; CTA diagnosis; urgent revascularization/surgery.
Toxic megacolon,toxic megacolon; fulminant colitis with megacolon,"A patient with known ulcerative colitis is admitted with a flare, then suddenly has less diarrhea while looking much sicker.","He is febrile, tachycardic, hypotensive, and increasingly distended.",The abdomen is tympanitic with decreased bowel sounds; opioids or antidiarrheals could worsen the situation.,"Labs show leukocytosis, anemia, hypoalbuminemia, and electrolyte abnormalities.",Abdominal x-ray or CT shows transverse colon dilation greater than 6 cm with loss of haustra.,"Transmural colonic inflammation has caused paralysis, dilation, and perforation risk.","Toxic megacolon is acute colonic dilation with systemic toxicity from severe colitis, classically UC or C. difficile.",Colitis + systemic toxicity + colon dilation >6 cm; avoid colonoscopy/barium; UC and C diff causes; perforation risk; urgent medical/surgical management.
Primary sclerosing cholangitis,PSC; primary sclerosing cholangitis,A 37-year-old man with long-standing ulcerative colitis presents with fatigue and itching before much pain is present.,Labs show ALP and GGT markedly elevated compared with AST and ALT.,"He has intermittent jaundice and right upper quadrant discomfort, but stones are not seen obstructing a single duct.",MRCP reveals multifocal strictures and dilations of intra- and extrahepatic bile ducts.,pANCA may be positive and cholangiocarcinoma risk is increased.,Chronic fibroinflammatory bile duct injury creates the beaded duct pattern.,"PSC is inflammatory fibrosis of intrahepatic and extrahepatic bile ducts, strongly associated with ulcerative colitis and causing cholestatic labs and beading on MRCP.",UC association; cholestatic ALP/GGT; beaded ducts on MRCP; pANCA; cholangiocarcinoma risk; persists after colectomy.
Primary biliary cholangitis,PBC; primary biliary cirrhosis; autoimmune cholangitis,A 52-year-old woman with Sjogren syndrome reports months of fatigue and intense itching without early abdominal pain.,Exam shows excoriations and xanthelasma; jaundice appears only later.,Labs show a cholestatic pattern with elevated ALP and GGT.,Anti-mitochondrial antibody is strongly positive.,"Biopsy, if needed, shows granulomatous destruction of small intrahepatic bile ducts.",Autoimmune injury to interlobular bile ducts causes progressive cholestasis.,"PBC is autoimmune destruction of small intrahepatic bile ducts, causing cholestasis in middle-aged women and strongly associated with antimitochondrial antibodies.",Middle-aged woman; pruritus/fatigue; ALP high; AMA positive; small intrahepatic ducts; xanthomas; ursodeoxycholic acid.
Budd-Chiari syndrome,hepatic vein thrombosis; Budd Chiari; hepatic venous outflow obstruction,A 35-year-old with polycythemia vera develops painful abdominal swelling and tender hepatomegaly.,Ascites appears quickly and is more painful than typical cirrhotic fluid accumulation.,"Exam shows hepatomegaly, splenomegaly, and prominent abdominal wall veins.",Ascitic fluid has high SAAG with relatively high protein; LFTs and bilirubin are elevated.,"Doppler ultrasound shows absent or reversed hepatic venous flow, and CT may show caudate lobe hypertrophy.",Hepatic venous outflow obstruction causes sinusoidal congestion and portal hypertension.,"Budd-Chiari syndrome is hepatic venous outflow obstruction, usually thrombosis, causing RUQ pain, hepatomegaly, ascites, and high-SAAG high-protein fluid.",RUQ pain + hepatomegaly + ascites; hypercoagulable/OCP/myeloproliferative risk; hepatic vein thrombosis on Doppler; high SAAG high protein.
Zollinger-Ellison syndrome,ZES; gastrinoma; gastrin-secreting tumor,A 49-year-old has recurrent severe peptic ulcers despite adherence to therapy and no NSAID use.,He also has chronic watery diarrhea and weight loss from excess acid entering the small bowel.,Endoscopy shows multiple ulcers extending beyond the duodenal bulb.,Fasting gastrin is markedly elevated and gastric pH remains low.,Secretin stimulation paradoxically increases gastrin; MEN1 features may be present.,A gastrin-secreting tumor drives refractory acid hypersecretion.,"Zollinger-Ellison syndrome is gastrin excess from gastrinoma causing profound acid hypersecretion, refractory/multiple distal ulcers, GERD, and diarrhea.",Refractory multiple ulcers; distal duodenum/jejunum; diarrhea/steatorrhea; high fasting gastrin + low gastric pH; secretin increases gastrin; MEN1.
Diverticulitis,acute diverticulitis; sigmoid diverticulitis,"A 67-year-old with chronic constipation develops left lower quadrant pain, fever, and anorexia over two days.",He has a history of diverticulosis but now has tenderness rather than painless bleeding.,White count is elevated and urinalysis may show mild irritation without true urinary infection.,CT abdomen shows sigmoid colonic wall thickening with pericolic fat stranding.,Colonoscopy is avoided during the acute episode because of perforation risk.,Microperforation and inflammation of a diverticulum explain the focal infectious presentation.,"Diverticulitis is microperforation of a diverticulum causing localized colonic inflammation, most often sigmoid, with LLQ pain, fever, and CT fat stranding.",LLQ pain + fever + older patient; CT with sigmoid fat stranding/wall thickening; avoid acute colonoscopy; complications abscess/fistula/perforation.
Chronic pancreatitis,chronic pancreatitis; pancreatic exocrine insufficiency from chronic pancreatitis,A 52-year-old with long-standing alcohol use has recurrent epigastric pain that is less dramatic than acute pancreatitis flares.,"He has weight loss, greasy stools, and fat-soluble vitamin deficiency symptoms.",Diabetes develops as endocrine pancreas is lost.,Lipase may be normal because the gland is burned out.,CT shows pancreatic calcifications and ductal irregularity.,Repeated inflammation has caused irreversible fibrosis with exocrine and endocrine insufficiency.,"Chronic pancreatitis is irreversible pancreatic fibrosis causing chronic pain plus exocrine insufficiency, steatorrhea, weight loss, and later diabetes, often with calcifications.",Chronic alcohol/smoking; epigastric pain to back; steatorrhea; diabetes; pancreatic calcifications pathognomonic; lipase may be normal; fecal elastase low.
Peptic ulcer disease with upper GI bleed,PUD bleed; bleeding peptic ulcer; duodenal ulcer bleed; gastric ulcer bleed,"A 47-year-old reports new exertional lightheadedness and stools that look like wet tar, but denies frank red blood.","For several weeks he has had gnawing epigastric discomfort at night, partially relieved by food and over-the-counter antacids.",He smokes and has been using naproxen after a back injury; prior testing for H. pylori was never treated.,Labs show normocytic anemia with a BUN:creatinine ratio above 20 despite no primary kidney complaint.,"There is no sequence of vomiting followed by blood, and his platelet count and INR are normal.",Endoscopy would provide diagnosis and hemostasis for a bleeding ulcer bed.,"Bleeding peptic ulcer disease is the most common upper GI bleed source and is supported by H. pylori or NSAID risk, epigastric pain, melena, and an elevated BUN:Cr ratio from digested blood protein.",H. pylori/NSAIDs; epigastric pain; melena or coffee-ground emesis; BUN:Cr >20; endoscopy diagnostic and therapeutic.
Esophageal varices,variceal bleed; bleeding esophageal varices; portal hypertensive varices,"A 49-year-old with chronic hepatitis C presents with abrupt hematemesis after dinner, not after a prolonged vomiting illness.",He describes no burning ulcer-like pain and no preceding retching; the volume of blood seems out of proportion to nausea.,"He has splenomegaly, ascites, spider angiomas, and asterixis on exam.","Platelets are 54,000, INR is elevated, and ultrasound from last month showed a nodular liver.",Resuscitation is paired with octreotide and antibiotics before endoscopic control.,The source is rupture of portal hypertensive submucosal veins in the esophagus.,"Portal hypertension dilates the esophageal venous plexus, and rupture causes painless, often massive hematemesis in a patient with cirrhosis and coagulopathy.",Cirrhosis/portal HTN; painless large-volume hematemesis; thrombocytopenia; elevated INR; highest-mortality UGIB pattern.
Mallory-Weiss tear,Mallory Weiss tear; GE junction mucosal tear; post-retching hematemesis,A pregnant patient with hyperemesis develops small-volume hematemesis after hours of dry heaving.,"The key sequence is nausea and retching first, then blood, rather than painless massive bleeding from the start.","There is no chronic NSAID use, no dark stools predating the vomiting, and no portal hypertension findings.",Exam shows only mild upper abdominal tenderness without peritonitis.,Bleeding slows spontaneously and the hemoglobin drop is modest.,The lesion is a superficial longitudinal laceration at the GE junction from sudden pressure changes.,A Mallory-Weiss tear is a longitudinal mucosal tear at the gastroesophageal junction caused by sudden increases in intraabdominal pressure from retching.,"Vomiting first, then hematemesis; GE junction linear tear; alcoholism, bulimia, hyperemesis; usually self-limited."
Acute cholecystitis,cholecystitis; acute calculous cholecystitis; cystic duct obstruction,A 50-year-old with obesity and recent rapid weight loss has upper abdominal pain that now radiates toward the right scapula.,"She says similar post-meal attacks used to end after an hour, but this one has lasted all night.","She is febrile, nauseated, and has focal RUQ tenderness with inspiratory arrest.",Labs show leukocytosis without the markedly cholestatic pattern expected from a common bile duct stone.,"RUQ ultrasound demonstrates gallstones, a distended gallbladder, and sonographic Murphy sign.",HIDA would show nonfilling if the initial ultrasound were equivocal.,"Acute cholecystitis is inflammation from cystic duct obstruction, producing constant RUQ pain, fever, Murphy sign, and gallbladder inflammatory changes on ultrasound.",Constant RUQ pain; right shoulder/scapula radiation; fever; Murphy sign; gallstones + wall thickening/pericholecystic fluid.
Ascending cholangitis,cholangitis; acute ascending cholangitis; infected choledocholithiasis,A 58-year-old develops fever and episodic RUQ discomfort several weeks after biliary colic was diagnosed but not treated.,"On exam she is jaundiced and tender in the RUQ, but the story is more toxic than simple cholecystitis.","Labs show leukocytosis, conjugated bilirubin elevation, and a cholestatic enzyme pattern.",Imaging finds common duct dilation; lipase is not the dominant abnormality.,"She becomes hypotensive and mildly altered, implying severe disease beyond uncomplicated choledocholithiasis.","An obstructed infected bile duct explains the triad of pain, jaundice, and fever.","Ascending cholangitis occurs when an obstructed biliary system becomes infected, causing RUQ pain, fever, jaundice, and sometimes shock or altered mental status.",Charcot triad = fever + RUQ pain + jaundice; Reynold pentad adds hypotension and AMS; ALP/GGT/direct bilirubin high; dilated CBD; ERCP treats.
Acute hepatitis,acute hepatocellular hepatitis; acute liver injury; acute viral hepatitis pattern,"A college student returns from travel with fatigue, anorexia, low-grade fever, and vague RUQ discomfort.","Several days later her urine darkens and stools become lighter, prompting evaluation for jaundice.",Labs show a hepatocellular pattern with very high aminotransferases and a mildly elevated INR.,The ALP is not disproportionately high and there is no dilated common bile duct.,She has no chronic alcohol pattern with AST staying under 400 and AST:ALT above 2.,Viral testing would show an acute hepatitis pattern such as IgM antibody or acute HBV markers.,"Acute hepatitis causes hepatocellular injury with prodrome, jaundice, RUQ discomfort, and very high transaminases, often far exceeding the cholestatic enzymes.",Viral/drug/toxic exposure; malaise and anorexia; AST/ALT often >1000; jaundice/dark urine; rule out obstruction.
Perforated peptic ulcer,perforated ulcer; perforated duodenal ulcer; perforated gastric ulcer,A patient treated intermittently for ulcer-like pain presents with acute diffuse abdominal pain that began like a switch flipped.,"He is tachycardic, diaphoretic, and reluctant to let anyone touch his abdomen.","The abdomen is board-like, making biliary colic, gastritis, or uncomplicated ulcer disease insufficient.","Labs may show leukocytosis and mild amylase elevation, but lipase is not the central clue.",Imaging demonstrates pneumoperitoneum under the diaphragm.,The emergency is perforation of an acid-peptic ulcer with chemical peritonitis.,"Full-thickness ulcer perforation spills gastric or duodenal contents into the peritoneum, causing sudden severe pain, rigid abdomen, peritonitis, and free intraperitoneal air.",Sudden maximal pain; rigid abdomen; peritonitis; H. pylori/NSAIDs; free air under diaphragm = perforation.
Gastroesophageal reflux disease,GERD; reflux esophagitis; erosive esophagitis,A pregnant patient reports burning substernal discomfort that is worse bending over and when trying to sleep flat.,"She also has morning hoarseness and a sour taste, making the first complaint seem respiratory rather than GI.","There is no food impaction, odynophagia, weight loss, anemia, or GI bleeding.",Lifestyle changes and acid suppression improve the symptoms.,Endoscopy would be reserved for alarm symptoms or failure of empiric therapy.,Chronic acid exposure from reflux explains the positional postprandial pattern.,"GERD results from lower esophageal sphincter dysfunction with acid reflux, producing postprandial and positional burning pain with regurgitation.",Burning substernal/epigastric pain; worse after meals or lying flat; sour regurgitation; antacid/PPI response; alarm symptoms need endoscopy.
Acute pancreatitis,pancreatitis; gallstone pancreatitis; alcoholic pancreatitis,"A 61-year-old with gallstones has constant epigastric pain radiating posteriorly, beginning after a fatty meal.","She is nauseated and guarded, but the pain is not localized to the gallbladder alone.",ALT is elevated early and lipase is markedly increased.,Ultrasound evaluates for a biliary trigger while CT is reserved for unclear diagnosis or complications.,Grey Turner or Cullen findings would suggest hemorrhagic severe disease.,A transient common channel obstruction has triggered acute pancreatic inflammation.,"Acute pancreatitis is pancreatic enzyme activation causing severe epigastric pain radiating to the back, relief leaning forward, and lipase elevation above three times normal.",Epigastric pain to back; better leaning forward; lipase >3x ULN; gallstones/alcohol; ALT >150 suggests gallstone cause.
Gastritis,acute gastritis; chronic gastritis; H pylori gastritis; autoimmune gastritis,"A patient with heavy alcohol use reports nonspecific dyspepsia, nausea, and fullness after small meals.","There is no abrupt perforation, no melena-predominant presentation, and no back-radiating severe pain.",Upper abdominal tenderness is mild and vital signs are stable.,Testing may identify H. pylori or medication-related mucosal irritation.,Biopsy shows mucosal inflammation but not a sharply demarcated ulcer.,The process is gastric mucosal inflammation rather than an ulcer complication.,"Gastritis is gastric mucosal inflammation without a discrete ulcer; H. pylori, NSAIDs, alcohol, and autoimmune parietal cell destruction are common causes.","Epigastric discomfort/nausea; no discrete ulcer on endoscopy; H. pylori/NSAIDs; autoimmune gastritis causes B12 deficiency, achlorhydria, high gastrin."
Acute appendicitis,appendicitis; inflamed appendix,A 32-year-old presents with poorly localized abdominal pain that migrates over the day and is now worst near McBurney point.,"He has anorexia out of proportion to the early exam, then develops nausea and low-grade fever.","The abdomen is not diffusely rigid, but rebound is present in the RLQ.",Urinalysis is unimpressive despite mild urinary frequency from local irritation.,Imaging shows a dilated noncompressible blind-ending tubular structure.,Luminal obstruction with bacterial overgrowth and ischemia explains the evolution.,"Appendiceal lumen obstruction causes distension and inflammation, classically producing periumbilical pain that migrates to the RLQ with anorexia and leukocytosis.",Periumbilical to RLQ migration; anorexia; pain before vomiting; McBurney/Rovsing/psoas/obturator signs; CT gold standard in nonpregnant adults.
Crohn disease,Crohn; Crohn's disease; regional enteritis; transmural IBD,"A smoker in his late 20s presents with recurrent RLQ pain, diarrhea, and a draining perianal lesion.","He has had intermittent fevers and weight loss, but stool blood has never been the dominant symptom.",Inflammatory markers and fecal calprotectin are elevated; ASCA is positive.,Imaging shows stricturing and creeping fat around the terminal ileum.,Endoscopy demonstrates cobblestoning with rectal sparing rather than continuous rectal disease.,"Transmural inflammation explains fistulas, abscesses, and strictures.","Crohn disease is transmural, skip-lesion inflammatory bowel disease that commonly involves the terminal ileum and causes fistulas, strictures, perianal disease, and nonbloody diarrhea.",Transmural; skip lesions; terminal ileum/RLQ; fistulas/strictures/perianal disease; ASCA; smoking worsens; B12 deficiency possible.
Hemolytic anemia,hemolysis; hemolytic jaundice; prehepatic jaundice,A patient develops scleral icterus and anemia after starting an oxidant medication.,"The first impression could be hepatitis, but liver enzymes and ALP are not the main abnormalities.",Labs show unconjugated hyperbilirubinemia with brisk marrow response.,Haptoglobin is depleted and LDH rises from red cell destruction.,"Smear findings such as bite cells, spherocytes, sickled cells, or schistocytes narrow the cause.",Excess heme breakdown overwhelms conjugation capacity before bile ducts are involved.,"Hemolysis overwhelms hepatic conjugation capacity, causing unconjugated hyperbilirubinemia with elevated LDH, low haptoglobin, and reticulocytosis.",Indirect bilirubin; high LDH; low haptoglobin; high reticulocytes; no bilirubinuria; smear and Coombs help identify cause.
Gilbert syndrome,Gilbert; Gilbert disease; benign unconjugated hyperbilirubinemia,A marathon runner is told he has recurrent mild indirect hyperbilirubinemia after strenuous training and a viral illness.,"He has normal hemoglobin and no splenomegaly, so hemolysis is not supported.",There is no bilirubinuria and no cholestatic enzyme elevation.,Physical exam is normal except subtle scleral icterus during episodes.,No imaging or treatment is needed once other causes are excluded.,"The condition is a common hereditary conjugation defect triggered by fasting, illness, or exertion.","Gilbert syndrome is benign reduced bilirubin conjugation causing intermittent isolated unconjugated hyperbilirubinemia triggered by fasting, illness, stress, or exertion.",Mild isolated indirect bilirubin; normal CBC and LFTs; fasting/stress/illness trigger; benign UGT1A1 deficiency.
Alcoholic hepatitis,alcohol-associated hepatitis; alcoholic steatohepatitis,"A patient with daily liquor use develops RUQ discomfort, fever, and progressive jaundice after a binge.","The story could suggest infection, but cultures are unrevealing and there is chronic liver disease on exam.",Aminotransferases are moderately elevated with AST:ALT >2:1 and AST usually below 400.,Coagulopathy and high bilirubin make severity scoring important.,There is no common bile duct dilation to explain the jaundice mechanically.,Acetaldehyde toxicity and pyridoxine depletion produce the characteristic lab pattern.,"Alcoholic hepatitis causes acute hepatocellular injury from alcohol with jaundice, tender hepatomegaly, AST:ALT >2:1, elevated GGT, and AST usually under 400.",Heavy alcohol use; jaundice; tender hepatomegaly; AST:ALT >2:1; AST rarely >400; elevated GGT/INR; Maddrey DF for severity.
Choledocholithiasis,common bile duct stone; biliary obstruction from gallstone; obstructive choledocholithiasis,A patient after rapid weight loss reports waxing epigastric/RUQ pain and new scleral icterus.,"The abdomen is tender but there are no rigors, hypotension, or mental status changes.",Urine is dark from water-soluble bilirubin and stools are lighter from reduced bile delivery.,ALP/GGT dominate the lab pattern and the CBD measures enlarged on ultrasound.,"If infection supervened, this would become cholangitis.",The obstruction is extrahepatic and stone-related rather than hepatocellular.,"Choledocholithiasis is a gallstone obstructing the common bile duct, producing conjugated hyperbilirubinemia, cholestatic enzymes, dark urine, pale stools, and ductal dilation.",RUQ pain + obstructive labs; direct bilirubin and ALP/GGT high; dilated CBD; MRCP/EUS visualizes; ERCP treats.
Pancreatic head cancer,pancreatic head adenocarcinoma; pancreatic head malignancy; periampullary pancreatic cancer,An older smoker develops progressive painless jaundice over several weeks with anorexia and vague back discomfort.,The lack of colicky pain or fever makes a simple stone or cholangitis less likely.,Pruritus and fat-soluble vitamin issues reflect chronic cholestasis.,CA 19-9 may be elevated but tissue and staging imaging are needed.,Imaging reveals a double-duct pattern rather than isolated gallbladder disease.,Malignant obstruction near the pancreatic head explains the Courvoisier physiology.,"A pancreatic head mass compresses the distal bile duct, causing painless progressive obstructive jaundice, weight loss, Courvoisier sign, and the double-duct sign.",Painless progressive jaundice; weight loss; Courvoisier sign; double duct sign; smoking/chronic pancreatitis/diabetes risk; CA 19-9 not diagnostic alone.
Cirrhotic ascites,ascites due to cirrhosis; portal hypertensive ascites; decompensated cirrhosis,A patient with NASH cirrhosis develops new painless abdominal distension and bulging flanks.,"He is not febrile or encephalopathic, making infected ascites less likely at presentation.","Ultrasound shows nodular liver, splenomegaly, and ascitic fluid.",Ascitic albumin compared with serum albumin gives a high SAAG.,Low ascitic protein supports cirrhosis rather than cardiac or malignant causes.,"Every new tap still screens for SBP, but the underlying fluid mechanism is portal hypertensive cirrhosis.","Cirrhosis causes ascites through portal hypertension, hypoalbuminemia, and renal sodium retention, producing high-SAAG, low-protein ascitic fluid.",SAAG >=1.1 indicates portal hypertension; cirrhotic ascites has low protein; always tap new/worsening ascites to exclude SBP.
Spontaneous bacterial peritonitis,SBP; infected cirrhotic ascites; spontaneous peritonitis,"A patient admitted for variceal bleeding later develops worsening renal function, fever, and subtle abdominal discomfort.","Because cirrhosis can blunt symptoms, the diagnosis cannot wait for severe peritonitis.",Ascitic fluid is tapped before antibiotics and shows neutrophils above the diagnostic cutoff.,The fluid culture is monomicrobial rather than the mixed flora pattern of secondary peritonitis.,Treatment includes a third-generation cephalosporin and albumin in appropriate patients.,This is infection of preexisting cirrhotic ascites.,"SBP is monomicrobial infection of cirrhotic ascites due to bacterial translocation, diagnosed by ascitic PMNs over 250 cells/mm3.",Cirrhotic ascites + fever/pain/encephalopathy; PMN >250 = treat; low-protein ascites risk; distinguish from secondary peritonitis.
Diverticular bleeding,diverticular hemorrhage; bleeding colonic diverticulosis,An older patient on anticoagulation presents with abrupt bright red hematochezia and orthostasis.,"He has no cramping pain before the bleeding, which argues against ischemic colitis.",There is no weight loss or progressive constipation suggesting malignancy.,Exam shows blood on rectal exam but a benign abdomen.,CTA is considered if bleeding is too brisk for standard colonoscopy.,"Most episodes stop spontaneously, but the classic source is a diverticulum.","Diverticular bleeding is arterial rupture of vasa recta at diverticula, causing sudden painless large-volume hematochezia in older adults.",Most common significant adult LGIB; painless massive hematochezia; soft nontender abdomen; colonoscopy/CTA/tagged RBC depending stability.
Colorectal cancer,colon cancer; rectal cancer; colorectal adenocarcinoma; CRC,"A 55-year-old presents with new constipation, thinner stools, and vague left lower abdominal cramping.","He initially attributes fatigue to work, but labs show microcytosis and low ferritin.",There is no sudden painless massive bleeding as with diverticula and no infectious diarrhea syndrome.,Colonoscopy with biopsy is required for diagnosis.,Staging CT evaluates liver and lung spread after tissue confirmation.,"An ulcerating colon tumor can cause anemia, hematochezia, weight loss, and obstruction.","Colorectal cancer causes occult or visible bleeding, iron deficiency anemia, weight loss, and progressive changes in bowel habits or obstruction.",Age >50; weight loss; change in bowel habits; iron deficiency anemia; blood mixed with stool; apple-core lesion; colonoscopy with biopsy.
Ischemic colitis,colonic ischemia; ischemic colopathy,"An older patient with atrial fibrillation and atherosclerosis has abdominal cramps after dialysis, then small-volume hematochezia.",The distribution is segmental rather than continuous from the rectum.,She has low-grade fever and tenderness over the splenic flexure or sigmoid region.,Colonoscopy within 48 hours may show pale edematous mucosa with submucosal hemorrhage.,Peritoneal signs would suggest progression to infarction and surgery.,Watershed colonic hypoperfusion is the unifying mechanism.,"Ischemic colitis is hypoperfusion of vulnerable watershed colon, causing crampy left-sided pain followed by hematochezia and segmental thumbprinting.",Pain before bleeding; elderly vascular patient; watershed areas; thumbprinting; segmental mucosal injury; lactate/peritonitis suggests severe ischemia.
Ulcerative colitis,UC; ulcerative proctocolitis; mucosal inflammatory bowel disease,"A nonsmoking young adult presents with mucus, blood mixed in stool, and frequent urgent trips to the bathroom.","There is no skip pattern, fistula, or terminal ileal predominance to suggest Crohn disease.","Severe disease could cause fever, tachycardia, anemia, and hypoalbuminemia.",PSC history or cholestatic labs would be a related clue.,Endoscopy demonstrates rectal involvement extending proximally without normal intervening mucosa.,"Chronic superficial colitis creates friability, pseudopolyps, and crypt abscesses.","Ulcerative colitis is continuous mucosal inflammation beginning in the rectum, causing bloody diarrhea, urgency, tenesmus, crypt abscesses, and PSC association.",Bloody diarrhea; rectum always involved; continuous disease; mucosal/submucosal only; pANCA; PSC; no fistulas/skip lesions.
